dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
kr-vs-kp,C0,LR,random_2,log_loss,10,0.3,0.7013431419206174,0.02828215115086124,0.7002351097178684,0.02790324637282562
kr-vs-kp,C0,LR,random_3,log_loss,3,0.1,0.5962152421567151,0.03201947144870303,0.6085511363636364,0.03185696828187513
kr-vs-kp,C0,LR,random_3,log_loss,7,0.2,0.6404716323628621,0.030349226344961726,0.6454898119122257,0.030726656068775195
kr-vs-kp,C0,LR,random_3,log_loss,10,0.3,0.7043732556459439,0.03916641670038697,0.6949431818181818,0.03967475193613234
kr-vs-kp,C0,LR,random_4,log_loss,3,0.1,0.5179598827944966,0.016640907527991043,0.5325382053291536,0.02278958027740215
kr-vs-kp,C0,LR,random_4,log_loss,7,0.2,0.5793771904820794,0.020944097584202445,0.5819905956112852,0.022079906421675857
kr-vs-kp,C0,LR,random_4,log_loss,10,0.3,0.7903292926747993,0.029983130392635643,0.7969484717868338,0.029612283205691373
kr-vs-kp,C0,MLP,attention,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,MLP,attention,log_loss,7,0.2,0.9441289597127132,0.012821800694284166,0.9449392633228839,0.013162085457421369
kr-vs-kp,C0,MLP,attention,log_loss,10,0.3,0.9475011074559697,0.013711151052144373,0.9480691614420064,0.014276762046682163
kr-vs-kp,C0,MLP,decision_tree,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,MLP,decision_tree,log_loss,7,0.2,0.9552525267951669,0.01319578096190672,0.9546385188087774,0.01334172384850125
kr-vs-kp,C0,MLP,decision_tree,log_loss,10,0.3,0.9778999754727307,0.011930759135425222,0.9774764890282132,0.012304606286529502
kr-vs-kp,C0,MLP,f_classif,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,MLP,f_classif,log_loss,7,0.2,0.9411245840471196,0.011641643405150379,0.9424363244514107,0.011950151222175926
kr-vs-kp,C0,MLP,f_classif,log_loss,10,0.3,0.9433919139353183,0.00861773951872556,0.9430564263322884,0.009159493585116463
kr-vs-kp,C0,MLP,linear_model,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,MLP,linear_model,log_loss,7,0.2,0.9411245840471196,0.011641643405150379,0.9424363244514107,0.011950151222175926
kr-vs-kp,C0,MLP,linear_model,log_loss,10,0.3,0.9603722139380955,0.012099907746758662,0.9590242946708465,0.01250381145561257
kr-vs-kp,C0,MLP,random,log_loss,3,0.1,0.5610591065311157,0.02981899205997132,0.561933777429467,0.030301354902924786
kr-vs-kp,C0,MLP,random,log_loss,7,0.2,0.5995011765358587,0.028956916774483064,0.5979339733542319,0.02878391321989218
kr-vs-kp,C0,MLP,random,log_loss,10,0.3,0.7093478201131898,0.021760070934049858,0.7137098354231975,0.02163983694255634
kr-vs-kp,C0,MLP,random_1,log_loss,3,0.1,0.548335073856167,0.020846040689161502,0.5413087774294671,0.017903009955959188
kr-vs-kp,C0,MLP,random_1,log_loss,7,0.2,0.5976247627216875,0.016855634726753603,0.5954447492163009,0.017031171451073232
kr-vs-kp,C0,MLP,random_1,log_loss,10,0.3,0.7245223738989253,0.009030600303937552,0.7255985501567398,0.008828413350477328
kr-vs-kp,C0,MLP,random_2,log_loss,3,0.1,0.5507637576191072,0.024865514331582732,0.543164184952978,0.021472908212481153
kr-vs-kp,C0,MLP,random_2,log_loss,7,0.2,0.6095624988661442,0.028320833635341505,0.6069915752351097,0.02776639505777248
kr-vs-kp,C0,MLP,random_2,log_loss,10,0.3,0.7012887162251522,0.032791595296756265,0.6984041927899687,0.03389479225440009
kr-vs-kp,C0,MLP,random_3,log_loss,3,0.1,0.5696251557647881,0.025308734405452483,0.557259012539185,0.018595059690962566
kr-vs-kp,C0,MLP,random_3,log_loss,7,0.2,0.6715560011686128,0.032359286396714836,0.6633228840125392,0.030124029219624343
kr-vs-kp,C0,MLP,random_3,log_loss,10,0.3,0.6712641299518908,0.02026452852835277,0.6758287617554859,0.019258748416027142
